Spanish	Russian
octava	восьмая
el señor	господин
la casa	дом
la cama	кровать, постель
escuchar	слушать
con	с
el desayuno	завтрак
tomar	брать, взять
cuando	когда
terminar	заканчивать, кончать
ir	идти
va	идет
a	на, в
la fábrica	фабрика
por	по
el camino	дорога, путь
comprar	покупать, купить
el periódico	газета
el ingeniero	инженер
trabajar	работать
grande	огромный, большой
gigante	гигант
llegar	приходить, придти
hablar	говорить, разговаривать, беседовать
el director	директор
después	после того, после этого, потом, после
visitar	посещать, посетить
el taller	цех, мастерская
el obrero	рабочий, работник
regresar	возвращаться, вернуться
