Spanish	Russian
el golpe	стук, стук в дверь
tímido	робкий, застенчивый, боязливый
sonar	раздаваться, звучать
como	как будто, так как
delicioso	прелестный, восхитительный
el episodio	эпизод
el sueño	сон
oigo	я слышу, слышу
la voz	голос
mimoso	нежный
poder	мочь
puede ser	можеть быть
se puede	разрешено, можно
la clase	вид, класс
la precaución	предосторожность
presenciar	присутствовать
el espectáculo	представление, зрелище
inmoral	безнравственный
traer	приносить
los menesteres	принадлежности
óptimo	необычайный, превосходный
lentamente	неторопливо, медленно
poner	класть, ставить
aquí	здесь, тут
el azúcar	сахар
incorporarse	вставать, приподниматься
hacer uso	пользоваться, употреблять
el uso	употребление
enumerado	перечисленный
encantador	очаровательный
el salto	прыжок, скачок
llenar	переполнять, наполнять, охватывать
el asombro	удивление, испуг, страх
el viajante	коммивояжер
tan	так, такой, столь, столь же
sinvergüenza	бессовестный, плут
ponerse encendido	становиться красным, покраснеть
casarse	выходить замуж, жениться
el rapaciño	ребенок
el señorito	молодой человек
medio dormido	в полусне
se puede?	можно?
entra!	войдите!
dar un salto	отскочить, отскакивать, отскочить в сторону
qué te pasa?	что с тобой твориться?, что с тобой?
te vas a casar?	ты собираешься замуж?
qué cosas!	такие дела! что вы говорите!
