Español	Ruso
el cuento	сказка
mirar	смотреть
cerca de	около, рядом
el bosque	лес
Caperucita Roja	Красная Шапочка
atravesar	проходить, идти
tanto	так, столь, такой
el lobo	волк
la oreja	ухо, ушная раковина
es posible	влхмлэгл
de qué?	о чем?
de quién?	чей?, о ком?
joven	молодой
lindo	миловидный, красивый
la verdad	правда
guapo	красивый, привлекательный
bajo	низкий
delgado	худой
grueso	толстый
el ojo	глаз
la boca	рот, уста
algo	немного, несколько
los labios	губы
el coral	коралл
reirse	смеяться
la fila	ряд
el diente	зуб
igual	ровный
la frente	лоб
pequeño	малый, небольшой, маленький
recto	ровный, прямой
la nariz	нос
bello	прекрасный
la ceja	бровь
espeso	густой
claro	редкий
la pestaña	ресница
largo	длинный
en alta voz	громко, громким голосом
todo es posible	все возможно
me gusta tanto	мне так нравится
algo grande	несколько большой

