Spanish	Russian
sino	но, а, только, всего лишь
adentro!	войдите!
adentro	внутри
quieto	неподвижный, спокойный
acá	здесь, тут
soltar	выпускать, отпускать
la levita	сюртук
mandar	приказывать, желать
cubrir	накрывать, покрывать
la prole	потомство, поколение
mamar	сосать грудь
bendecir	благословлять
sencillo	простой
gracioso	изящный, прелестный
barato	дешевый, не дорогой
caro	дорогой, не дешевый
sufrido	терпеливый, выносливый
la reforma	реформа, переделка
probar	примерять, пробовать
la criatura	создание, креатура
tonto	глупый
el marinero	матрос, моряк
el cochero	ездовой, кучер
el payaso	клоун, паяц
sacar	вынимать, вытаскивать
el circo	цирк
la vuelta	оборот, поворот
media vuelta	пол-оборота
tocar	трогать, касаться рукой
no toques	не трогай
eso	это, то
el perdón	прощение, извинение
perdonar	прощать, извинять
elegir	выбирать, избирать
la tropa	войско, толпа
la marcha	марш
la alegría	радость, веселье
la desesperación	отчаяние, безнадежность
el batallón	батальон
el voluntario	доброволец
no lo sé	не знаю
muy buenas!	добрый день!
estate quieta!	не вертись!, стой спокойно!, сиди спокойно
qué tiene usted que mandar?	что прикажете?, что вам угодно?
a ver	увидим
en marcha!	вперед марш!
no hay de qué	неважно, не за что
